Field,Date,FIBBG000B9XRY4
Close,2023-11-28,190.4
Close,2023-11-29,189.37
Close,2023-11-30,189.95
Close,2023-12-01,191.24
Close,2023-12-04,189.43
Close,2023-12-05,193.42
Close,2023-12-06,192.32
Close,2023-12-07,194.27
Close,2023-12-08,195.71
Close,2023-12-11,193.18
Close,2023-12-12,194.71
Close,2023-12-13,197.96
Close,2023-12-14,198.11
Close,2023-12-15,197.57
Close,2023-12-18,195.89
Close,2023-12-19,196.94
Close,2023-12-20,194.83
Close,2023-12-21,194.68
Close,2023-12-22,193.6
Close,2023-12-26,193.05
Close,2023-12-27,193.15
Close,2023-12-28,193.58
Close,2023-12-29,192.53
